# seed=7 sizes=1,5,10,15,20
20	101	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	102	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	103	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	104	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	105	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	106	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	107	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	108	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	109	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	110	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	111	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	112	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	113	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	114	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	115	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	116	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	117	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	118	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	119	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	120	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	121	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	122	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	123	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	124	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	125	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	126	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	127	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	128	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	129	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	130	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	131	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	132	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	133	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	134	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	135	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	136	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	137	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	138	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	139	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	140	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	141	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	142	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	143	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	144	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	145	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	146	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	147	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	148	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	149	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	150	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	151	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	152	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	153	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	154	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	155	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	156	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	157	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	158	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	159	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	160	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	161	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	162	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	163	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	164	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	165	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	166	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	167	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	168	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	169	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	170	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	171	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	172	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	173	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	174	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	175	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	176	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	177	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	178	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	179	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	180	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	181	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	182	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	183	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	184	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	185	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	186	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	187	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	188	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	189	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	190	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	191	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	192	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	193	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	194	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	195	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	196	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	197	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	198	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	199	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	200	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	201	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	202	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	203	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	204	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	205	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	206	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	207	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	208	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	209	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	210	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	211	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	212	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	213	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	214	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	215	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	216	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	217	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	218	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	219	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	220	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	221	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	222	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	223	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	224	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	225	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	226	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	227	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	228	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	229	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	230	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	231	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	232	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	233	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	234	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	235	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	236	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	237	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	238	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	239	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	240	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	241	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	242	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	243	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	244	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	245	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	246	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	247	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	248	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	249	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	250	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	251	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	252	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	253	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	254	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	255	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	256	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	257	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	258	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	259	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	260	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	261	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	262	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	263	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	264	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	265	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	266	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	267	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	268	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	269	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	270	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	271	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	272	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	273	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	274	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	275	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	276	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	277	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	278	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	279	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	280	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	281	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	282	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	283	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	284	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	285	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	286	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	287	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	288	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	289	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	290	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	291	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	292	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	293	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	294	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	295	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	296	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	297	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	298	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	299	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	300	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	301	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	302	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	303	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	304	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	305	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	306	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	307	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	308	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	309	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	310	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	311	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	312	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	313	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	314	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	315	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	316	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	317	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	318	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	319	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	320	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	321	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	322	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	323	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	324	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	325	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	326	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	327	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	328	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	329	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	330	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	331	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	332	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	333	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	334	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	335	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	336	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	337	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	338	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	339	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	340	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	341	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	342	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	343	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	344	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	345	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	346	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	347	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	348	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	349	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	350	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	351	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	352	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	353	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	354	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	355	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	356	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	357	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	358	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	359	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	360	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	361	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	362	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	363	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	364	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	365	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	366	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	367	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	368	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	369	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	370	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	371	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	372	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	373	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	374	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	375	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	376	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	377	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	378	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	379	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	380	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	381	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	382	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	383	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	384	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	385	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	386	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	387	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	388	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	389	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	390	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	391	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	392	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	393	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	394	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	395	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	396	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	397	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	398	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	399	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	400	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	401	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	402	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	403	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	404	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	405	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	406	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	407	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	408	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	409	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	410	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	411	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	412	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	413	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	414	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	415	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	416	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20	417	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
